id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,home_win,away_win,draw,over_2_5,under_2_5,home_goals,away_goals
e0d240a77323657c98952a74519218cd,soccer_epl,EPL,2023-09-18T18:45:00Z,Nottingham Forest,Burnley,williamhill,William Hill,2.1,3.3,3.6,1.91,1.8,0.0,0.0
98268a0edb51fe423e1e7229ab73ac4e,soccer_france_ligue_one,Ligue 1 - France,2023-09-03T13:00:00Z,Metz,Stade de Reims,williamhill,William Hill,3.8,1.91,3.6,1.85,1.85,0.0,0.0
d9c6588b696ac16b667713f90795df93,soccer_germany_bundesliga,Bundesliga - Germany,2023-09-15T18:30:00Z,Bayern Munich,Bayer Leverkusen,williamhill,William Hill,1.55,4.75,4.8,1.33,3.25,2.0,2.0
23b47f3eb1ac38e754fb9201206f8926,soccer_germany_bundesliga,Bundesliga - Germany,2023-09-16T13:30:00Z,RB Leipzig,Augsburg,williamhill,William Hill,1.2,12.0,7.0,1.36,3.0,3.0,0.0
4be7bf88e60dd5246a35c46c5d49c12f,soccer_germany_bundesliga,Bundesliga - Germany,2023-09-16T13:30:00Z,SC Freiburg,Borussia Dortmund,williamhill,William Hill,3.1,2.05,4.0,1.53,2.38,2.0,4.0
54fa66edc137450ec8c1bd51280238cb,soccer_germany_bundesliga,Bundesliga - Germany,2023-09-16T13:30:00Z,FC Koln,TSG Hoffenheim,williamhill,William Hill,2.2,2.9,3.8,1.62,2.2,1.0,3.0
171b397bafc20dcc6c1fbcfa124a9686,soccer_germany_bundesliga,Bundesliga - Germany,2023-09-16T13:30:00Z,FSV Mainz 05,VfB Stuttgart,williamhill,William Hill,2.5,2.6,3.6,1.73,2.0,1.0,3.0
d988a31c490f38f4ef57b2507bf20b21,soccer_germany_bundesliga,Bundesliga - Germany,2023-09-16T13:30:00Z,VfL Wolfsburg,Union Berlin,williamhill,William Hill,2.25,3.1,3.4,1.91,1.8,2.0,1.0
f858946bc101f632869c3d2686d6e102,soccer_germany_bundesliga,Bundesliga - Germany,2023-09-16T16:30:00Z,VfL Bochum,Eintracht Frankfurt,williamhill,William Hill,2.9,2.25,3.7,1.7,2.05,1.0,1.0
0bdd14eb684e84e888bfa69351ca87e0,soccer_germany_bundesliga,Bundesliga - Germany,2023-09-17T13:30:00Z,FC Heidenheim,Werder Bremen,williamhill,William Hill,2.3,2.8,3.7,1.67,2.1,4.0,2.0
248f1ceb902ec042d05a02806827bd45,soccer_germany_bundesliga,Bundesliga - Germany,2023-09-17T15:30:00Z,SV Darmstadt 98,Borussia Monchengladbach,williamhill,William Hill,2.9,2.3,3.6,1.73,2.0,3.0,3.0
655b596f84a8fbe67c40d677810b335c,soccer_italy_serie_a,Serie A - Italy,2023-09-22T16:30:00Z,Salernitana,Frosinone,williamhill,William Hill,2.4,3.0,3.25,2.1,1.67,0.0,0.0
740dd3b08af51c2b93ceed860b40d823,soccer_italy_serie_a,Serie A - Italy,2023-09-22T18:45:00Z,Lecce,Genoa,williamhill,William Hill,2.1,3.6,3.25,2.2,1.62,0.0,0.0
733b4bc2464dff47ce2c1e32528affe6,soccer_italy_serie_a,Serie A - Italy,2023-09-23T13:00:00Z,AC Milan,Hellas Verona FC,williamhill,William Hill,1.33,9.0,5.0,1.8,1.91,0.0,0.0
a8ee868334a641dd08435c5d0b45983e,soccer_italy_serie_a,Serie A - Italy,2023-09-23T16:00:00Z,Sassuolo,Juventus,williamhill,William Hill,3.6,1.95,3.7,1.7,2.05,0.0,0.0
2bc7267281956fe02b245212db08cf29,soccer_italy_serie_a,Serie A - Italy,2023-09-23T18:45:00Z,Lazio,Monza,williamhill,William Hill,1.8,4.33,3.75,1.85,1.85,0.0,0.0
b00dacb807617fcc000bbda8d67ea768,soccer_italy_serie_a,Serie A - Italy,2023-09-24T10:30:00Z,Empoli,Inter Milan,williamhill,William Hill,7.0,1.4,5.0,1.62,2.2,0.0,0.0
5d2f2f28c6f7a0905eb7c372885bbc66,soccer_italy_serie_a,Serie A - Italy,2023-09-24T13:00:00Z,Atalanta BC,Cagliari,williamhill,William Hill,1.3,9.0,5.5,1.62,2.2,0.0,0.0
eeb0c91b729048c44b82313b21645d79,soccer_italy_serie_a,Serie A - Italy,2023-09-24T13:00:00Z,Udinese,Fiorentina,williamhill,William Hill,3.0,2.25,3.5,1.91,1.8,0.0,0.0
2145f0e115f6cd3d0d88fb5388a409a6,soccer_italy_serie_a,Serie A - Italy,2023-09-24T16:00:00Z,Bologna,Napoli,williamhill,William Hill,4.2,1.75,4.0,1.73,2.0,0.0,0.0
549cc2b3beca9138da3efba7ec6e25ba,soccer_italy_serie_a,Serie A - Italy,2023-09-24T18:45:00Z,Torino,AS Roma,williamhill,William Hill,2.8,2.6,3.1,2.38,1.53,0.0,0.0
69ce6c2d85c6731d5d04a2181043ac9a,soccer_epl,EPL,2023-09-23T14:00:00Z,Crystal Palace,Fulham,williamhill,William Hill,1.91,4.0,3.6,1.91,1.8,0.0,0.0
2bb1ad8d75800f87589c2a3d898da3ee,soccer_epl,EPL,2023-09-23T14:00:00Z,Luton,Wolverhampton Wanderers,williamhill,William Hill,3.4,2.1,3.5,1.85,1.85,0.0,0.0
dd847ce1e1804f38613accf052ebfc75,soccer_epl,EPL,2023-09-23T14:00:00Z,Manchester City,Nottingham Forest,williamhill,William Hill,1.14,17.0,8.0,1.4,2.75,0.0,0.0
a2a29539dc0215b10cc6e65d1f75d45e,soccer_epl,EPL,2023-09-23T16:30:00Z,Brentford,Everton,williamhill,William Hill,1.8,4.4,3.7,1.85,1.85,0.0,0.0
04e4afa3695006c6ddd876af49547206,soccer_epl,EPL,2023-09-23T19:00:00Z,Burnley,Manchester United,williamhill,William Hill,5.0,1.62,4.2,1.62,2.2,0.0,0.0
